"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 19 10:16:13 GMT 2021","Thu Aug 19 10:16:22 GMT 2021","9492","","gameTest.GSignInTest","","gameTest.GSignInTest","testUnableToRegistringByMissingRSExpectation","TCG02	Sikertelen regisztráció Felhasználási Feltételek elfogadás hiánya miatt",""
"passed","Thu Aug 19 10:14:18 GMT 2021","Thu Aug 19 10:14:54 GMT 2021","36439","","professionPageTest.PLoginTests","","professionPageTest.PLoginTests","testLoginFailedDueToIncorrectPassword","TCP02	Sikertelen belépés hibás jelszóval",""
"passed","Thu Aug 19 10:15:29 GMT 2021","Thu Aug 19 10:15:59 GMT 2021","30160","","professionPageTest.DropdownTest","","professionPageTest.DropdownTest","testLogout","TCP02	Sikeres kijelentkezés - Logout","TCP02	Sikeres kijelentkezés - Logout"
"passed","Thu Aug 19 10:16:22 GMT 2021","Thu Aug 19 10:16:35 GMT 2021","13250","","gameTest.GSignInTest","","gameTest.GSignInTest","testUnableToRegistringByWrongPassword","TCG05	Sikertelen regisztráció hibás jelszó páros miatt",""
"passed","Thu Aug 19 10:15:10 GMT 2021","Thu Aug 19 10:15:29 GMT 2021","19236","","Search.SearchTest","","Search.SearchTest","testSimpleSearch","TCJ01 Testing to count Job cards",""
"passed","Thu Aug 19 10:14:54 GMT 2021","Thu Aug 19 10:15:13 GMT 2021","19152","","professionPageTest.PLoginTests","","professionPageTest.PLoginTests","testSuccessfulLogin","TCP01	Sikeres belépés regisztrált felhasználóként",""
"passed","Thu Aug 19 10:16:03 GMT 2021","Thu Aug 19 10:16:13 GMT 2021","9548","","gameTest.GSignInTest","","gameTest.GSignInTest","testUnableToRegistringByMissingSSxpectation","TCG03	Sikertelen regisztráció Játékstabályzat elfogadás hiánya miatt",""
"failed","Thu Aug 19 10:14:17 GMT 2021","Thu Aug 19 10:15:09 GMT 2021","51925","","Search.SearchTest","","Search.SearchTest","testCardsContent","TCJ02 Testing to count Valid Job cards",""
"passed","Thu Aug 19 10:15:39 GMT 2021","Thu Aug 19 10:15:51 GMT 2021","11730","","gameTest.GSignInTest","","gameTest.GSignInTest","testEnsureToPrivacyPolicyIsEnable","TCG01	Regisztrációnál az Felhasználási Feltételek dokumentum elérhető",""
"broken","Thu Aug 19 10:15:51 GMT 2021","Thu Aug 19 10:16:03 GMT 2021","12446","","gameTest.GSignInTest","","gameTest.GSignInTest","testRegisterActiveEmployee","TCG06	Sikeres AKTÍV álláskereső regisztráció",""
"passed","Thu Aug 19 10:15:25 GMT 2021","Thu Aug 19 10:15:39 GMT 2021","14042","","gameTest.GSignInTest","","gameTest.GSignInTest","testRegisterPassiveEmployee","TCG07	Sikeres PASSZÍV álláskereső regisztráció",""
"failed","Thu Aug 19 10:15:13 GMT 2021","Thu Aug 19 10:15:25 GMT 2021","11343","","gameTest.GSignInTest","","gameTest.GSignInTest","testUnableToRegistringByWrongEmail","TCG04	Sikertelen regisztráció hibás e-mail cím miatt",""
